caseNumber,reportDate,offenseDate,callTime,crimeType,premise,blockAddress,rd,npc,_id
P18228509,12/4/18,12/3/18,  5:36AM,MOTOR VEH. THEFT: Autos,RESIDENTIAL,4700 BLOCK BEVERLY CT ,E02,NORTH,185494
P18228497,12/4/18,12/4/18,  3:45AM,ROBBERY: Strong-Arm,RESIDENTIAL,9300 BLOCK INDIANA AVE ,I16,CENTRAL,185493
P18228495,12/4/18,12/4/18,  3:38AM,VANDALISM: Vandalism,MISCELLANEOUS,3600 BLOCK NYE AVE ,J12,WEST,185492
P18228490,12/4/18,12/4/18,  3:30AM,OTHER: Motor Vehicle Codes,HIGHWAYS,GOLDEN AVE,H04,WEST,185491
P18228421,12/3/18,12/3/18, 10:55PM,ASSAULT: Other Assaults,RESIDENTIAL,2500 BLOCK 14TH ST ,D02,EAST,185490
P18228399,12/3/18,12/3/18, 10:08PM,OTHER: Miscellaneous,MISCELLANEOUS,4900 BLOCK CENTRAL AVE ,E12,NORTH,185488
P18228389,12/3/18,12/3/18,  9:56PM,THEFT: Theft from motor vehicle,MISCELLANEOUS,3100 BLOCK MISSION INN AVE ,B12,EAST,185487
P18228375,12/3/18,12/3/18,  9:00PM,OTHER: Stolen Property,HIGHWAYS,ARLINGTON AVE ,H01,WEST,185486
P18228367,12/3/18,12/3/18,  8:51PM,VANDALISM: Vandalism,MISCELLANEOUS,6300 BLOCK VAN BUREN BLVD ,H13,WEST,185485
P18228362,12/3/18,12/2/18,  8:28PM,VANDALISM: Vandalism,MISCELLANEOUS,7800 BLOCK MAGNOLIA AVE ,F13,CENTRAL,185484
P18228341,12/3/18,12/3/18,  7:43PM,OTHER: Miscellaneous,HIGHWAYS,CANYON CREST DR,D14,EAST,185483
P18228333,12/3/18,11/30/18,  7:32PM,MOTOR VEH. THEFT: Trucks and buses,HIGHWAYS,5100 BLOCK CENTRAL AVE ,E12,NORTH,185482
P18228327,12/3/18,12/3/18,  7:19PM,ASSAULT: Other Assaults,MISCELLANEOUS,9500 BLOCK MAGNOLIA AVE ,I17,CENTRAL,185481
P18228321,12/3/18,12/3/18,  7:07PM,ASSAULT: Other Assaults,RESIDENTIAL,3800 BLOCK LOCUST ST ,A13,NORTH,185480
P18228312,12/3/18,12/3/18,  6:51PM,ASSAULT: Other Assaults,HIGHWAYS,7400 BLOCK EL SOL WAY ,G11,CENTRAL,185478
P18228303,12/3/18,12/3/18,  6:42PM,OTHER: Motor Vehicle Codes,HIGHWAYS,CENTRAL AVE ,D04,EAST,185477
P18228297,12/3/18,12/3/18,  6:29PM,THEFT: Shoplifting,COMM - Other,3500 BLOCK RIVERSIDE PLAZA DR ,E16,NORTH,185476
P18228296,12/3/18,12/3/18,  6:29PM,OTHER: All Other Offenses,MISCELLANEOUS,5000 BLOCK JURUPA AVE ,E02,NORTH,185475
P18228273,12/3/18,12/3/18,  5:32PM,OTHER: Miscellaneous,MISCELLANEOUS,CANYON CREST,D14,EAST,185474
P18228268,12/3/18,12/3/18,  5:25PM,OTHER: Motor Vehicle Codes,MISCELLANEOUS,1200 BLOCK GALLERIA AT TYLER ,J17,WEST,185473
P18228265,12/3/18,12/3/18,  5:15PM,OTHER: Miscellaneous,HIGHWAYS,11TH ,A13,NORTH,185472
P18228256,12/3/18,12/3/18,  5:00PM,THEFT: Shoplifting,COMM - Other,3800 BLOCK CHICAGO AVE ,D07,EAST,185471
P18228236,12/3/18,12/3/18,  4:23PM,OTHER: Stolen Property,HIGHWAYS,ARLINGTON AVE ,F06,CENTRAL,185470
P18228227,12/3/18,12/3/18,  4:14PM,OTHER: Miscellaneous,HIGHWAYS,PALM AV ,C13,NORTH,185469
P18228221,12/1/18,12/1/18,  4:15PM,THEFT: Theft from motor vehicle,RESIDENTIAL,4200 BLOCK UNIVERSITY AVE ,A13,NORTH,185468
P18228217,12/3/18,9/1/18,  4:01PM,ASSAULT: Other Assaults,MISCELLANEOUS,3600 BLOCK UNIVERSITY AVE ,C11,NORTH,185467
P18228211,12/3/18,12/3/18,  3:56PM,OTHER: Runaways,MISCELLANEOUS,5400 BLOCK VICTORIA AVE ,G02,EAST,185466
P18228194,12/3/18,12/3/18,  3:40PM,THEFT: Theft from buildings,MISCELLANEOUS,5200 BLOCK SIERRA AVE ,E12,NORTH,185465
P18228186,12/3/18,12/3/18,  3:30PM,BURGLARY: Forcible entry,RESIDENTIAL,9800 BLOCK INDIANA AVE ,J15,CENTRAL,185464
P18228184,12/3/18,12/3/18,  3:28PM,OTHER: Miscellaneous,MISCELLANEOUS,10500 BLOCK MAGNOLIA AVE ,J12,WEST,185463
P18228175,12/3/18,12/3/18,  3:18PM,VANDALISM: Vandalism,MISCELLANEOUS,3400 BLOCK ARLINGTON AVE ,G01,EAST,185462
P18228170,12/3/18,12/3/18,  3:18PM,OTHER: Miscellaneous,MISCELLANEOUS,20000 BLOCK ORANGE TERRACE PKWY ,K04,EAST,185461
P18228159,12/3/18,6/1/18,  2:59PM,OTHER: Miscellaneous,RESIDENTIAL,10200 BLOCK HEDRICK AVE ,H14,WEST,185460
P18228155,12/3/18,11/18/18,  2:49PM,FRAUD: Forgery & Counterfeiting,RESIDENTIAL,8600 BLOCK SUGAR GUM RD ,K04,EAST,185459
P18228150,12/3/18,12/3/18,  2:30PM,OTHER: All Other Offenses,HIGHWAYS,UNIVERSITY AVE,B04,EAST,185458
P18228148,12/3/18,8/1/18,  2:43PM,VANDALISM: Vandalism,MISCELLANEOUS,3800 BLOCK POLK ST ,J18,WEST,185457
P18228136,12/3/18,12/3/18,  2:40PM,OTHER: Miscellaneous,HIGHWAYS,INDIANA AVE ,I16,CENTRAL,185456
P18228135,12/3/18,12/3/18,  2:12PM,OTHER: Miscellaneous,HIGHWAYS,ARLINGTON AVE ,F03,CENTRAL,185455
P18228133,12/3/18,11/29/18,  2:10PM,VANDALISM: Vandalism,MISCELLANEOUS,6200 BLOCK RIVER CREST DR ,G08,EAST,185454
P18228124,12/3/18,12/3/18,  1:49PM,VANDALISM: Vandalism,COMM - Other,500 BLOCK TECHNOLOGY CT ,B08,NORTH,185453
P18228121,12/3/18,12/2/18,  2:00PM,BURGLARY: Forcible entry,COMM - Other,2200 BLOCK GALLERIA AT TYLER ,J17,WEST,185452
P18228108,12/3/18,12/3/18, 11:08AM,OTHER: Miscellaneous,MISCELLANEOUS,5200 BLOCK CANYON CREST DR ,D14,EAST,185450
P18228081,12/3/18,12/3/18,  1:00PM,OTHER: Miscellaneous,MISCELLANEOUS,2900 BLOCK 6TH ST ,B12,EAST,185449
P18228079,12/3/18,12/3/18, 12:57PM,VANDALISM: Vandalism,COMM - Other,4300 BLOCK TEQUSQUITE ,C15,NORTH,185448
P18228063,12/3/18,12/3/18, 12:23PM,OTHER: Motor Vehicle Codes,HIGHWAYS,MISSION INN AVE,C01,NORTH,185447
P18228057,12/3/18,12/3/18, 12:17PM,BURGLARY: Forcible entry,COMM - Other,3700 BLOCK COMER,B13,EAST,185446
P18228037,12/3/18,11/28/18, 11:49AM,ASSAULT: Other Assaults,MISCELLANEOUS,1800 BLOCK LINDEN,B13,EAST,185445
P18228035,12/3/18,12/3/18, 11:47AM,OTHER: All Other Offenses,RESIDENTIAL,10100 BLOCK ARLINGTON AVE ,H07,WEST,185444
